"pageUrl","domain","resourceType","isThirdParty","hasAdKeywords","isKnownAdDomain","sizeKB","durationMs","status"
,"a1.api.bbc.co.uk","xhr",true,false,,0,68,204
,"ichef.bbci.co.uk","image",true,false,,11.47,66,200
,"ichef.bbci.co.uk","image",true,false,,21.6,68,200
,"ichef.bbci.co.uk","image",true,false,,12.37,68,200
,"ichef.bbci.co.uk","image",true,false,,3.96,68,200
,"a1.api.bbc.co.uk","xhr",true,false,,0,70,204
,"ichef.bbci.co.uk","image",true,false,,28.94,79,200
,"ichef.bbci.co.uk","image",true,false,,24.81,92,200
,"ichef.bbci.co.uk","image",true,false,,15.24,97,200
,"ichef.bbci.co.uk","image",true,false,,18.55,100,200
,"ichef.bbci.co.uk","image",true,false,,29.46,112,200
,"a1.api.bbc.co.uk","xhr",true,false,,0,70,204
,"ichef.bbci.co.uk","image",true,false,,12.95,58,200
,"ichef.bbci.co.uk","image",true,false,,15.54,73,200
,"ichef.bbci.co.uk","image",true,false,,14.69,75,200
